Topic,Similarity Score
Is a college education worth it?,168.8562643
Are social media platforms doing enough to prevent cyberbullying?,168.19615270000003
Is wind power the best alternative energy source?,168.10662989999994
Are gas prices too high?,167.89822009999992
Should the government allow illegal immigrants to become citizens?,167.82900230000004
Are social networking sites good for our society?,167.63407769999992
Should children have mobile phones?,167.47330969999996
Should government spending be reduced?,166.99539689999997
Does poverty cause crime?,166.93997639999992
Should social networks be banned?,166.71787060000003
Should abortion be legal?,166.26905799999997
Should education be free?,166.26196380000005
Should holders of public offices resign on bad approval ratings?,165.91931389999996
Are video games art?,165.58017109999997
Should Turkey join the EU?,165.52987749999997
Is obesity a disease?,165.48300310000013
Should prescription drugs be advertised directly to consumers?,165.43876080000004
Should gay marriage be legal?,165.35759829999992
Should recreational marijuana be legal?,165.3284611000001
Should marijuana be a medical option?,165.21594940000008
Does lowering the federal corporate income tax rate create jobs?,165.17979519999994
Should we imprison fewer people?,165.14290709999995
Should the federal minimum wage be increased?,164.99183350000004
Do we need sex education in schools?,164.929723
Can terrorism be justified?,164.83746619999994
Can alternative energy effectively replace fossil fuels?,164.81673859999998
Is feminism still needed?,164.56708350000002
Should suicide be a criminal offense?,164.41882350000006
Should election day be a national holiday?,164.37416190000008
Is drinking milk healthy for humans?,164.35439080000003
